Fund Name,Currency,Risk Rating,Cash,CPFIS-OA,CPFIS-SA,SRS,Management Fee,Annual Expense Ratio,Fund Size(million),Initial,Subsequent,Indicated Gross <br\/> Dividend Yield* (%),Cash Investment,Frequency,FSM Sales Charge
Aviva Investors - Emerging Markets Equity Small Cap A USD,USD,10,Y,N,N,Y,1.70%,2.02%,USD 217.36,1000,100,,,,0
Allianz Dynamic Asian High Yield Bond Cl AMg DIS H2-GBP,GBP,5,Y,N,N,Y,1.25%,1.54%,USD 965.00,1000,100,7.72%,Payout,M,0
Fidelity World A-EUR,EUR,7,Y,N,N,N,1.50%,1.89%,USD 4668.00,1000,100,,Reinvest,Y,0
FTIF - Franklin US Opportunities A Acc USD,USD,8,Y,N,N,N,1.00%,1.81%,USD 7570.00,1000,100,,,,0
FTIF - Franklin US Opportunities A Acc SGD,SGD,8,Y,N,N,Y,1.00%,1.81%,USD 7570.00,1000,100,,,,0
Aberdeen Standard Singapore Equity SGD,SGD,8,Y,Y,N,Y,1.50%,1.63%,SGD 767.00,1000,100,,,,0
Eastspring Investments Unit Trusts - Asian Balanced SGD,SGD,6,Y,Y,Y,Y,1.30%,1.46%,SGD 977.60,1000,100,,,,0
Nikko AM Shenton Thrift Fund SGD,SGD,8,Y,Y,N,Y,0.75%,0.90%,SGD 68.54,500,100,,,,0
LionGlobal Korea Fund SGD,SGD,9,Y,N,N,Y,1.25%,1.67%,SGD 19.00,1000,100,,,,0
First Sentier Global Balanced A Acc USD,USD,6,Y,N,N,N,1.10%,1.73%,null ,1000,100,,,,0
Franklin Floating Rate A (dis) USD,USD,4,Y,N,N,N,0.53%,1.20%,USD 332.00,1000,100,3.95%,Payout,M,0
FTIF - Templeton Global Bond A (Mdis) SGD-H1,SGD,3,Y,N,N,Y,0.75%,1.39%,USD 12200.00,1000,100,4.62%,Reinvest,M,0
First Sentier Global Listed Infrastructure A DIS USD,USD,9,Y,N,N,N,1.50%,2.02%,USD 11.90,1000,100,2.85%,Reinvest,H,0
Aberdeen Standard Global Technology SGD,SGD,10,Y,N,N,Y,1.50%,1.75%,SGD 65.70,1000,100,,,,0
Amundi Singapore Dividend Growth AS-D SGD,SGD,8,Y,N,N,Y,1.20%,1.64%,SGD 20.40,1000,500,2.82%,Reinvest,H,0
Fidelity US Dollar Bond A-USD,USD,3,Y,N,N,N,0.75%,1.04%,USD 2310.00,1000,100,0.88%,Reinvest,H,0
Allianz US High Yield Cl AM DIS H2-SGD,SGD,4,Y,N,N,Y,1.00%,1.36%,USD 1133.47,1000,100,6.50%,Payout,M,0
FTIF - Templeton Global Total Return A MDIS USD,USD,4,Y,N,N,N,0.75%,1.40%,USD 12370.00,1000,100,6.58%,Reinvest,M,0
Aberdeen Standard Pacific Equity USD,USD,8,Y,N,N,N,1.50%,1.65%,SGD 1800.00,1000,100,,,,0
Legg Mason Western Asset - Asian Opportunities A Acc USD,USD,4,Y,N,N,N,1.10%,1.34%,USD 631.00,1000,100,,,,0
JPMorgan Funds - Japan Equity A (dist) SGD,SGD,8,Y,N,N,Y,1.50%,1.80%,USD 6087.50,1000,100,0.04%,Reinvest,Y,0
FTIF - Templeton Global Equity Income A MDIS SGD,SGD,7,Y,N,N,Y,1.00%,1.88%,USD 78.00,1000,100,1.56%,Payout,M,0
HGIF - Chinese Equity AD SGD,SGD,9,Y,N,N,Y,1.50%,1.90%,USD 1470.74,1000,100,,Reinvest,Y,0
RHB Entrepreneur Fund USD,USD,8,Y,N,N,N,1.50%,1.82%,SGD 23.73,1000,500,,,,0
Fidelity US High Yield A-MDIST-USD,USD,4,Y,N,N,N,1.00%,1.39%,USD 4136.00,6000,100,3.47%,Payout,M,0
HGIF - European Equity PD SGD,SGD,8,Y,N,N,Y,1.00%,1.35%,EUR 55.78,1000,100,2.33%,Reinvest,Y,0
Fidelity European Growth A-SGD,SGD,8,Y,N,N,Y,1.50%,1.89%,EUR 6370.00,1000,100,1.16%,Payout,Y,0
Schroder ISF China Opportunities A Acc SGD-H,SGD,9,Y,N,N,N,1.50%,1.88%,USD 1816.44,1500,100,,,,0
Schroder ISF Middle East A Acc SGD,SGD,9,Y,N,N,N,1.50%,2.04%,USD 67.90,1500,100,,,,0
Aberdeen Standard Global Emerging Markets USD,USD,9,Y,N,N,N,1.50%,1.75%,SGD 275.00,1000,100,,,,0
Allianz Dynamic Asian High Yield Bond Cl AMg DIS H2-RMB,CNH,5,Y,N,N,Y,1.25%,1.54%,USD 965.00,1000,100,10.75%,Payout,M,0
FTIF - Templeton Global Total Return A MDIS SGD,SGD,4,Y,N,N,Y,0.75%,1.40%,USD 6910.00,1000,100,6.47%,Reinvest,M,0
Allianz Dynamic Asian High Yield Bond Cl AMg DIS H2-SGD,SGD,5,Y,N,N,Y,1.25%,1.54%,USD 965.00,1000,100,8.31%,Payout,M,0
Schroder Singapore Trust A Dis SGD,SGD,8,Y,Y,N,Y,1.13%,1.32%,SGD 823.54,1000,100,7.26%,Reinvest,Q,0
Schroder Asian Equity Yield A Dis SGD,SGD,8,Y,Y,N,Y,1.50%,1.72%,SGD 365.01,1000,500,2.88%,Payout,M,0
Eastspring Investments Funds - Monthly Income Plan M SGD,SGD,4,Y,N,N,Y,1.25%,1.40%,SGD 746.30,1000,100,8.55%,Payout,M,0
Eastspring Investments - Asian Bond AADM AUD-H,AUD,4,Y,N,N,N,1.00%,1.42%,USD 3368.10,1000,100,4.72%,Payout,M,0
Allianz Europe Equity Growth Cl AT Acc EUR,EUR,8,Y,N,N,Y,1.50%,1.85%,EUR 6702.62,1000,100,,,,0
Legg Mason Brandywine - Global Fixed Income A Acc USD,USD,2,Y,N,N,N,1.10%,1.34%,USD 498.00,1000,100,,,,0
Legg Mason Western Asset - US High Yield A Mdis SGD-H Plus,SGD,4,Y,N,N,N,1.15%,1.42%,USD 238.00,1000,100,5.32%,Reinvest,M,0
United Asian Bond Fund USD,USD,4,Y,N,N,N,1.10%,1.32%,USD 79.74,1000,100,4.08%,Payout,M,0
Fullerton Dynamic Strategies - Balanced A SGD,SGD,6,Y,N,N,Y,1.20%,2.37%,SGD 8.05,1000,100,,,,0
HGIF - Thai Equity Fund CL AD USD,USD,9,Y,N,N,N,1.50%,1.85%,USD 41.69,1000,100,0.64%,Reinvest,Y,0
HGIF - India Fixed Income AC SGD,SGD,5,Y,N,N,Y,1.10%,1.45%,USD 916.47,1000,100,,,,0
Nikko AM Shenton Asia Bond Cl A SGD,SGD,4,Y,N,N,Y,1.00%,1.32%,SGD 39.15,1000,100,3.73%,Reinvest,H,0
HGIF - Asia ex Japan Equity Smaller Companies AD SGD,SGD,10,Y,N,N,Y,1.50%,1.85%,USD 811.50,1000,100,0.47%,Reinvest,Y,0
BNP Paribas Europe Emerging Equity EUR,EUR,9,Y,N,N,N,1.75%,2.22%,EUR 47.00,1000,100,,,,0
BNP Paribas Europe Equity Classic Cap EUR,EUR,8,Y,N,N,N,1.50%,1.97%,EUR 1308.00,1000,100,,,,0
Fidelity Global Dividend SR-ACC-SGD (CPF),SGD,7,N,Y,N,N,1.30%,1.69%,USD 9466.00,1000,100,,,,0
Eastspring Investments Unit Trusts - Global Themes USD,USD,7,Y,N,N,N,1.50%,1.77%,SGD 20.20,1000,100,,,,0
AB FCP I Global High Yield AT AUD-H,AUD,4,Y,N,N,N,1.45%,1.75%,USD 21129.17,2000,750,6.69%,Payout,M,0
Fidelity Asian High Yield A-RMB (hedged),CNH,5,Y,N,N,N,1.00%,1.39%,USD 5054.00,1000,100,5.39%,Payout,Q,0
Schroder ISF Global Corporate Bond A Dis SGD-H,SGD,3,Y,N,N,N,0.75%,1.07%,USD 2848.93,1500,100,2.65%,Payout,H,0
Fidelity Global Dividend SR-MINCOME(G)-SGD (CPF),SGD,7,N,Y,N,N,1.30%,1.69%,USD 9466.00,1000,100,2.64%,Reinvest,M,0
Schroder ISF Global Multi-Asset Income A Dis SGD-H,SGD,5,Y,N,N,N,1.25%,1.58%,USD 2103.39,1000,100,5.02%,Payout,M,0
Threadneedle (Lux) Enhanced Commodities ASH Acc SGD-H,SGD,10,Y,N,N,Y,1.75%,2.05%,USD 475.80,2500,100,,,,0
Eastspring Investments - Asian Property Securities ASDQ SGD,SGD,10,Y,N,N,N,1.50%,2.52%,USD 17.30,1000,100,3.55%,Payout,Q,0
Schroder ISF Global Corporate Bond A Acc USD,USD,3,Y,N,N,N,0.75%,1.04%,USD 2848.93,1000,100,,,,0
Legg Mason ClearBridge - Value A Acc USD,USD,8,Y,N,N,N,1.35%,1.80%,USD 451.00,1000,100,,,,0
Schroder ISF Global Emerging Market Opportunities A Acc USD,USD,9,Y,N,N,N,1.50%,1.86%,USD 1895.83,1000,100,,,,0
DWS Noor Precious Metal Securities J SGD,SGD,10,Y,N,N,N,1.50%,2.09%,USD 108.51,1000,100,,,,0
Legg Mason Western Asset - Singapore Bond A Acc SGD,SGD,1,Y,Y,Y,Y,0.75%,0.95%,SGD 30.75,1000,100,,,,0
Eastspring Investments Unit Trusts - Dragon Peacock A SGD,SGD,9,Y,N,N,Y,1.50%,1.63%,SGD 1194.80,1000,100,,,,0
PIMCO Global Real Return Fund Cl E Acc USD,USD,2,Y,N,N,Y,1.39%,1.39%,USD 2700.00,1000,100,,,,0
Fidelity China RMB Bond A-ACC-RMB,CNH,5,Y,N,N,N,0.75%,1.08%,USD 398.00,1000,100,,,,0
Schroder ISF Global Multi-Asset Income A Dis AUD-H,AUD,5,Y,N,N,N,1.25%,1.58%,USD 2103.39,1000,100,4.31%,Payout,M,0
United Income Focus Trust Dis SGD,SGD,6,Y,N,N,Y,1.25%,1.56%,SGD 1359.99,1000,100,6.08%,Payout,M,0
FTIF - Franklin US Opportunities AS Acc SGD (CPF),SGD,8,N,Y,N,N,1.00%,1.71%,USD 7570.00,1000,100,,,,0
Blackrock World Gold Fund A2 SGD-H,SGD,10,Y,N,N,Y,1.75%,2.06%,USD 6060.91,1000,100,,,,0
Eastspring Investments - Asian High Yield Bond ADM USD,USD,5,Y,N,N,N,1.00%,1.43%,USD 482.10,1000,100,6.90%,Payout,M,0
Eastspring Investments - Asian High Yield Bond ASDM SGD,SGD,5,Y,N,N,N,1.00%,1.45%,USD 482.10,1000,100,6.92%,Payout,M,0
Fidelity America A-SGD (hedged),SGD,8,Y,N,N,Y,1.50%,1.89%,USD 2240.00,1000,100,,,,0
PIMCO Asia Strategic Interest Bond Fund Cl E Inc USD,USD,4,Y,N,N,Y,1.50%,1.50%,USD 169.90,1000,100,4.00%,Payout,M,0
Fidelity Global Financial Services A-EUR,EUR,10,Y,N,N,N,1.50%,1.91%,EUR 640.00,1000,100,0.20%,Reinvest,Y,0
Aberdeen Standard Pacific Equity SGD,SGD,8,Y,Y,N,Y,1.50%,1.64%,SGD 1800.00,1000,100,,,,0
Principal Malaysia Titans Plus Fund Class SGD,SGD,9,Y,N,N,Y,1.50%,1.58%,SGD 0.12,1000,100,4.74%,Payout,Y,0
Natixis Loomis Sayles Multisector Income RD USD,USD,3,Y,N,N,N,1.25%,1.37%,USD 981.30,1100,100,2.99%,Payout,Q,0
HGIF - Euroland Equity AD EUR,EUR,8,Y,N,N,N,1.50%,1.85%,EUR 497.29,1000,100,1.71%,Reinvest,Y,0
HGIF - Global Emerging Markets Equity PC SGD,SGD,9,Y,N,N,N,1.00%,1.40%,USD 330.17,1000,100,,,,0
Threadneedle (Lux) Pan European Small Cap Opportunities AE Acc EUR,EUR,10,Y,N,N,Y,1.50%,1.85%,EUR 1011.00,1000,100,,,,0
HGIF - Global Short Duration Bond AC USD,USD,2,Y,N,N,Y,0.50%,0.70%,USD 670.32,1000,100,,,,0
LionGlobal Asia Bond SGD,SGD,4,Y,N,N,Y,1.00%,1.11%,SGD 144.00,1000,100,3.58%,Reinvest,Q,0
FTIF - Franklin Mutual Global Discovery A Acc USD,USD,7,Y,N,N,N,1.00%,1.85%,USD 462.00,1000,100,,,,0
Blackrock European Special Situations A2 AUD-H,AUD,8,Y,N,N,Y,1.50%,1.83%,EUR 1232.96,1000,100,,,,0
Neuberger Berman Emerging Market Debt Blend A MDis USD,USD,5,Y,N,N,Y,1.40%,1.59%,USD 1465.78,1000,100,6.26%,Payout,M,0
Principal DALI Opportunities Fund Class SGD,SGD,9,Y,N,N,Y,1.50%,1.56%,SGD 0.08,1000,100,,Reinvest,Y,0
United SGD Fund Cl A Acc USD-H,USD,2,Y,N,N,N,0.63%,0.65%,USD 1724.21,1000,100,,,,0
Threadneedle (Lux) Pan European ESG Equities AE Acc EUR,EUR,8,Y,N,N,Y,1.30%,1.80%,EUR 304.20,1000,100,,,,0
United Asian High Yield Bond Dis USD,USD,5,Y,N,N,N,1.25%,1.50%,USD 214.54,1000,100,7.09%,Payout,M,0
BNP Paribas Russia Equity EUR,EUR,9,Y,N,N,N,1.75%,2.21%,EUR 851.00,1000,100,,,,0
United SGD Fund Cl A Dis USD-H,USD,2,Y,N,N,N,0.63%,0.67%,USD 1724.21,1000,100,3.01%,Payout,Q,0
PineBridge Singapore Bond Fund SGD,SGD,1,Y,Y,Y,Y,0.75%,0.84%,SGD 549.80,1000,100,,,,0
Eastspring Investments - India Equity A USD,USD,9,Y,N,N,N,1.50%,2.20%,USD 140.40,1000,100,,,,0
FTIF - Franklin Biotechnology Discovery A Acc SGD,SGD,10,Y,N,N,Y,1.00%,1.82%,USD 2150.00,1000,100,,,,0
JPMorgan Funds - Global Natural Resources A (acc) USD,USD,10,Y,N,N,Y,1.50%,1.76%,USD 927.70,1000,500,,,,0
JPMorgan Funds - Russia A (dist) USD,USD,9,Y,N,N,Y,1.50%,1.80%,USD 436.30,1000,500,3.79%,Reinvest,Y,0
Natixis Loomis Sayles Global Opportunities Bond RD USD,USD,3,Y,N,N,N,1.25%,1.50%,USD 187.70,1000,100,0.78%,Payout,Q,0
Blackrock Emerging Markets Bond A2 EUR-H,EUR,5,Y,N,N,Y,1.25%,1.47%,USD 1734.04,1000,100,,,,0
Nikko AM Japan Dividend Equity SGD,SGD,8,Y,Y,N,Y,1.50%,1.73%,JPY 12072.86,1000,100,5.09%,Payout,M,0
Schroder AS Commodity A Acc EUR-H,EUR,10,Y,N,N,N,1.50%,1.95%,USD 481.45,10000,5000,,,,0
Schroder ISF European Value A Acc EUR,EUR,8,Y,N,N,N,1.50%,1.85%,EUR 190.74,1000,100,,,,0
PIMCO US High Yield Bond Fund Cl E Acc USD,USD,4,Y,N,N,Y,1.45%,1.45%,USD 4100.00,1000,500,,,,0
PIMCO Total Return Bond Fund Cl E Acc USD,USD,3,Y,N,N,Y,1.40%,1.40%,USD 6300.00,1000,500,,,,0
Legg Mason QS - Emerging Markets Equity A Acc USD,USD,9,Y,N,N,N,1.00%,1.53%,USD 12.71,1000,100,,,,0
Legg Mason QS - MV Asia Pacific ex Japan Equity Growth and Income A Mdis SGD-H Plus,SGD,9,Y,N,N,N,1.35%,1.83%,USD 36.15,1000,100,3.96%,Reinvest,M,0
FTIF - Franklin Gold and Precious Metals A (acc) SGD,SGD,10,Y,N,N,Y,1.00%,1.82%,USD 405.00,1000,100,,,,0
BNP Paribas Local Emerging Bond USD,USD,5,Y,N,N,N,1.40%,1.77%,USD 487.00,1000,100,,,,0
BNP Paribas Emerging Equity USD,USD,9,Y,N,N,N,1.75%,2.22%,USD 759.00,1000,100,,,,0
DWS Global Agribusiness A2 USD,USD,10,Y,N,N,N,1.50%,1.67%,USD 57.40,1000,100,,,,0
DWS Invest Top Dividend LDQ SGD,SGD,7,Y,N,N,N,1.50%,1.60%,EUR 2503.60,1000,100,6.38%,Payout,Q,0
Janus Henderson Horizon Pan European Property Equities A2 USD-H,USD,10,Y,N,N,N,1.20%,2.29%,EUR 474.72,1000,100,,,,0
PIMCO Global Investment Grade Credit Fund Cl E Acc USD,USD,3,Y,N,N,Y,1.39%,1.39%,USD 26900.00,1000,500,,,,0
Eastspring Investments - Asian Property Securities AS SGD,SGD,10,Y,N,N,Y,1.50%,2.64%,USD 17.30,1000,100,,,,0
Eastspring Investments - US High Investment Grade Bond AS SGD,SGD,3,Y,N,N,Y,1.25%,1.64%,USD 232.50,1000,100,,,,0
FTIF - Franklin Income A MDIS USD,USD,6,Y,N,N,N,0.85%,1.69%,USD 1240.00,1000,100,6.07%,Payout,M,0
Manulife Global Fund - Strategic Income Fund S SGD-H,SGD,4,Y,N,N,Y,1.25%,,USD 33.12,1000,100,1.64%,Payout,M,0
Legg Mason Western Asset - US High Yield A Mdis USD,USD,4,Y,N,N,N,1.15%,1.42%,USD 238.00,1000,100,3.70%,Reinvest,M,0
Fidelity China Innovation A-USD,USD,9,Y,N,N,N,1.50%,1.88%,USD 74.00,1000,100,0.08%,Reinvest,Y,0
Fidelity Asian High Yield A-MDIST-SGD (hedged),SGD,5,Y,N,N,Y,1.00%,1.39%,USD 5054.00,1000,100,4.77%,Payout,M,0
FTIF - Templeton Asian Bond A (Mdis) USD,USD,4,Y,N,N,N,0.75%,1.40%,USD 258.00,1000,100,2.47%,Payout,M,0
FTIF - Templeton Global Bond A (Mdis) SGD,SGD,3,Y,N,N,Y,0.75%,1.41%,USD 7480.00,1000,100,4.71%,Reinvest,M,0
FTIF - Templeton Global A Acc SGD,SGD,7,Y,N,N,Y,1.00%,1.83%,USD 785.00,1000,100,,,,0
JPMorgan Funds - Emerging Markets Equity A (dist) USD,USD,9,Y,N,N,Y,1.50%,1.73%,USD 13332.80,1000,500,0.02%,Reinvest,Y,0
Eastspring Investments - India Discovery Fund A USD,USD,9,Y,N,N,N,1.50%,6.21%,USD 1.00,1000,100,,,,0
Legg Mason Western Asset - Short Duration High Income Bond A Mdis USD,USD,4,Y,N,N,N,1.10%,1.39%,USD 27.47,1000,100,4.24%,Reinvest,M,0
FTIF - Templeton Global Balanced A Acc SGD,SGD,6,Y,N,N,Y,0.80%,1.66%,USD 700.00,1000,100,,,,0
Blackrock Global Allocation A2 USD,USD,6,Y,N,N,Y,1.50%,1.78%,USD 15795.08,1000,100,,,,0
Allianz Europe Equity Growth Cl AT Acc H2-SGD,SGD,8,Y,N,N,Y,1.50%,1.84%,EUR 6702.62,1000,100,,,,0
Fullerton Asia Income Return A SGD,SGD,6,Y,N,N,Y,1.20%,1.55%,SGD 126.98,1000,100,24.18%,Payout,M,0
Fullerton Lux Funds - Asian Bonds A Dis USD,USD,3,Y,N,N,N,1.00%,1.15%,USD 370.91,1000,100,3.81%,Payout,Q,0
Schroder ISF Global Dividend Maximiser A Dis AUD-H,AUD,7,Y,N,N,N,1.50%,1.89%,USD 1502.56,1000,100,6.00%,Payout,M,0
United Asian High Yield Bond Acc SGD,SGD,5,Y,N,N,Y,1.25%,1.50%,SGD 284.71,1000,100,,,,0
Fidelity Emerging Asia A-USD,USD,9,Y,N,N,N,1.50%,1.94%,USD 899.00,1000,100,,Reinvest,Y,0
Fidelity Emerging Asia A-EUR,EUR,9,Y,N,N,N,1.50%,1.94%,USD 899.00,1000,100,,Reinvest,Y,0
HGIF - BRIC Equity M2C SGD,SGD,9,Y,N,N,N,1.00%,1.35%,USD 286.71,1000,100,,,,0
FTIF - Franklin India A (acc) USD,USD,9,Y,N,N,N,1.00%,1.86%,USD 1250.00,1000,100,,,,0
HGIF - Global Short Duration Bond AC SGD,SGD,2,Y,N,N,Y,0.50%,0.70%,USD 670.32,1000,100,,,,0
HGIF - Global Short Duration Bond ACH SGD,SGD,2,Y,N,N,Y,0.50%,0.72%,USD 670.32,1000,100,,,,0
FTIF - Franklin Gold and Precious Metals A (acc) USD,USD,10,Y,N,N,N,1.00%,1.82%,USD 405.00,1000,100,,,,0
FTIF - Templeton European Opportunities A Acc SGD-H1,SGD,8,Y,N,N,Y,1.00%,1.86%,EUR 141.00,1000,100,,,,0
FTIF - Templeton Asian Growth A Acc SGD,SGD,8,Y,N,N,Y,1.35%,2.19%,USD 3550.00,1000,100,,,,0
Fullerton Lux Funds - Asian Currency Bond A Dis SGD,SGD,4,Y,N,N,Y,1.00%,1.15%,SGD 180.04,1000,100,,Reinvest,H,0
Fullerton Lux Funds - Asia Focus Equities A Acc SGD,SGD,8,Y,N,N,Y,1.75%,1.90%,SGD 533.02,1000,100,,,,0
Threadneedle (Lux) Global Emerging Market Short-Term Bonds ASC Inc SGD-H,SGD,4,Y,N,N,Y,1.30%,1.60%,SGD 152.30,1000,100,5.07%,Payout,M,0
Nikko AM Japan Dividend Equity SGD-H,SGD,8,Y,Y,N,Y,1.50%,1.73%,JPY 12072.86,1000,100,4.96%,Payout,M,0
Aviva Investors - Global Convertibles A USD,USD,5,Y,N,N,Y,1.20%,1.38%,USD 431.67,1000,100,,,,0
Aviva Investors - Global High Yield Bond A USD,USD,4,Y,N,N,Y,1.20%,1.41%,USD 6223.97,1000,100,,,,0
Wells Fargo China A Focus Fund Cl A Acc USD,USD,9,Y,N,N,N,1.50%,1.80%,USD 24.17,1100,100,,,,0
NN (L) Emerging Markets High Dividend X USD,USD,9,Y,N,N,Y,2.00%,2.40%,EUR 212.72,1000,100,,,,0
Allianz Europe Equity Growth Select Cl AT Acc EUR,EUR,8,Y,N,N,Y,1.50%,1.85%,EUR 965.85,1000,100,,,,0
Infinity European Stock Index SGD,SGD,8,Y,N,N,Y,0.47%,1.12%,SGD 8.70,1000,100,,,,0
Fidelity Flexible Bond A-GBP,GBP,3,Y,N,N,N,1.00%,1.42%,GBP 406.00,1000,100,1.34%,Payout,Q,0
FTIF - Templeton China A Acc USD,USD,8,Y,N,N,N,1.60%,2.45%,USD 572.00,1000,100,,,,0
FTIF - Templeton China A Acc SGD,SGD,8,Y,N,N,Y,1.60%,2.45%,USD 572.00,1000,100,,,,0
Eastspring Investments - India Discovery Fund AS SGD-H,SGD,9,Y,N,N,N,1.50%,6.19%,USD 1.00,1000,100,,,,0
Eastspring Investments - Japan Dynamic A USD,USD,8,Y,N,N,N,1.50%,1.59%,JPY 105039.90,1000,100,,,,0
FTIF - Templeton Asian Smaller Companies A Acc SGD,SGD,10,Y,N,N,Y,1.35%,2.24%,USD 875.00,1000,100,,,,0
Legg Mason Western Asset - Asian Bond Trust A Acc SGD,SGD,4,Y,N,N,Y,1.00%,1.32%,SGD 26.55,1000,100,,,,0
Aviva Investors - Global High Yield Bond Ah SGD,SGD,4,Y,N,N,Y,1.20%,1.40%,null ,1000,100,,,,0
Allianz Flexi Asia Bond Cl AM DIS H2-SGD,SGD,4,Y,N,N,Y,1.25%,1.54%,USD 520.38,1000,100,4.67%,Payout,M,0
Eastspring Investments - Asian Bond ADQ USD,USD,4,Y,N,N,N,1.00%,1.44%,USD 3368.10,1000,100,5.19%,Payout,Q,0
United Asia Consumer Fund SGD,SGD,10,Y,N,N,Y,1.50%,3.55%,SGD 4.12,1000,100,,Reinvest,F,0
Schroder ISF Asian Total Return A Dis SGD,SGD,8,Y,N,N,Y,1.50%,1.85%,USD 5869.40,1000,100,,Payout,Y,0
Allianz European Equity Dividend Cl AM DIS H2-AUD,AUD,8,Y,N,N,Y,1.50%,1.83%,EUR 1745.64,1000,100,5.95%,Payout,M,0
Allianz European Equity Dividend Cl AT Acc EUR,EUR,8,Y,N,N,Y,1.50%,1.83%,EUR 1745.64,1000,100,,,,0
Eastspring Investments - US Investment Grade Bond AS SGD,SGD,3,Y,N,N,N,1.25%,1.56%,USD 387.00,1000,100,,,,0
FTIF - Templeton Emerging Markets Bond A (Qdis) USD,USD,5,Y,N,N,N,1.00%,1.89%,USD 5150.00,1000,100,8.10%,Reinvest,Q,0
FTIF - Templeton Global Equity Income A MDIS USD,USD,7,Y,N,N,N,1.00%,1.60%,USD 76.00,1000,100,1.49%,Reinvest,M,0
PIMCO Total Return Bond Fund Cl E Inc USD,USD,3,Y,N,N,Y,1.40%,1.40%,USD 6300.00,1000,100,1.08%,Payout,Q,0
Aberdeen Standard Global Opportunities USD,USD,7,Y,N,N,N,1.50%,1.75%,SGD 80.80,1000,100,,,,0
Fidelity China Consumer A-USD,USD,9,Y,N,N,N,1.50%,1.91%,USD 5935.00,1000,100,,Reinvest,Y,0
Allianz Hong Kong Equity AT Acc SGD,SGD,9,Y,N,N,Y,1.50%,1.85%,HKD 2596.28,1000,100,,,,0
Allianz Oriental Income Cl AT Acc SGD,SGD,6,Y,N,N,Y,1.50%,1.85%,USD 959.44,1000,100,,,,0
DWS Singapore Equity A SGD,SGD,8,Y,N,N,Y,1.50%,1.99%,SGD 7.84,1000,100,,,,0
Schroder China Opportunities Acc SGD,SGD,9,Y,Y,N,Y,1.45%,1.68%,SGD 170.36,1000,500,,,,0
Eastspring Investments - Asian Dynamic Cl A USD,USD,8,Y,N,N,N,2.00%,2.68%,USD 89.10,1000,100,,,,0
Allianz Europe Equity Growth Select Cl AT Acc H2-SGD,SGD,8,Y,N,N,Y,1.50%,1.86%,EUR 965.85,1000,100,,,,0
United Asian High Yield Bond Dis SGD,SGD,5,Y,N,N,Y,1.25%,1.49%,SGD 284.71,1000,100,7.07%,Payout,M,0
FTIF - Templeton Asian Bond A (Mdis) SGD-H1,SGD,4,Y,N,N,Y,0.75%,1.36%,USD 258.00,1000,100,2.46%,Reinvest,M,0
PineBridge Latin America Equity A USD,USD,9,Y,N,N,Y,1.30%,2.18%,USD 84.60,1000,100,,,,0
Legg Mason Brandywine - Global Income Optimiser A Mdis SGD-H Plus,SGD,4,Y,N,N,N,1.10%,1.39%,USD 365.00,1000,100,4.87%,Reinvest,M,0
Eastspring Investments - Indonesia Equity A USD,USD,9,Y,N,N,N,1.50%,2.16%,USD 104.40,1000,100,,,,0
Aviva Investors - Global High Yield Bond Amh SGD,SGD,4,Y,N,N,Y,1.20%,1.41%,null ,1000,100,5.61%,Payout,M,0
Fullerton Short Term Interest Rate C SGD,SGD,1,Y,N,N,Y,0.50%,0.53%,SGD 1326.97,1000,100,,,,0
Legg Mason Royce - US Small Cap Opportunity A Acc USD,USD,10,Y,N,N,N,1.50%,1.94%,USD 1017.00,1000,100,,,,0
Allianz Europe Equity Growth Select Cl AT Acc H2-USD,USD,8,Y,N,N,Y,1.50%,1.85%,EUR 965.85,1000,100,,,,0
FTSF - Templeton Shariah Global Equity AS Acc SGD (CPF),SGD,7,N,Y,N,N,1.00%,1.73%,USD 83.00,1000,100,,,,0
Fidelity China Consumer A-SGD,SGD,9,Y,N,N,N,1.50%,1.91%,USD 5935.00,1000,100,,,,0
Fidelity Asian High Yield A-MDIST-USD,USD,5,Y,N,N,N,1.00%,1.39%,USD 5054.00,1000,100,4.87%,Reinvest,M,0
FTIF - Templeton Emerging Markets Dynamic Income A (Qdis) USD,USD,6,Y,N,N,N,1.00%,1.85%,USD 153.00,1000,100,2.88%,Reinvest,Q,0
Blackrock Global Allocation A2 SGD-H,SGD,6,Y,N,N,Y,1.50%,1.78%,USD 15795.08,1000,100,,,,0
NN (L) Emerging Markets Debt (Local Currency) P USD,USD,4,Y,N,N,Y,1.00%,1.31%,USD 53.02,1000,100,,,,0
NN (L) Asian Debt (Hard Currency) P USD,USD,4,Y,N,N,Y,1.00%,1.31%,USD 620.69,1000,100,,,,0
NN (L) US Credit P Cap USD,USD,3,Y,N,N,Y,0.75%,0.95%,USD 3976.63,1000,100,,,,0
FTIF - Templeton Global Balanced AS Acc SGD (CPF),SGD,6,N,Y,Y,N,0.80%,1.55%,USD 700.00,1000,100,,,,0
Fidelity America SR-ACC-SGD (hedged) (CPF),SGD,8,N,Y,N,N,1.30%,1.69%,USD 2240.00,1000,100,,,,0
Neuberger Berman Emerging Market Debt Blend A MDis SGD-H,SGD,5,Y,N,N,Y,1.40%,1.59%,USD 1465.78,1000,100,6.25%,Payout,M,0
Natixis Loomis Sayles Global Credit RD SGD,SGD,3,Y,N,N,N,1.03%,1.15%,USD 163.90,1500,100,0.57%,Payout,Q,0
