Fund Name,Currency,Risk Rating,Cash,CPFIS-OA,CPFIS-SA,SRS,Management Fee,Annual Expense Ratio,Fund Size(million),Initial,Subsequent,Indicated Gross <br\/> Dividend Yield* (%),Cash Investment,Frequency,FSM Sales Charge
Janus Henderson Horizon Euroland A2 EUR,EUR,8,Y,N,N,N,1.20%,1.90%,EUR 772.79,1000,100,,,,0
Janus Henderson Horizon Pan European Property Equities A2 EUR,EUR,10,Y,N,N,N,1.20%,2.45%,EUR 474.72,1000,100,,,,0
Stewart Investors Global Emerging Markets Leaders A Acc SGD,SGD,9,Y,N,N,Y,1.45%,2.10%,SGD 6.70,1000,100,,,,0
Aberdeen Standard India Opportunities USD,USD,9,Y,N,N,N,1.50%,1.75%,SGD 714.30,1000,100,,,,0
LionGlobal Japan Growth USD,USD,8,Y,N,N,N,1.40%,1.57%,SGD 288.90,1000,100,,,,0
Fidelity Global Multi Asset Dynamic A-USD,USD,10,Y,N,N,Y,1.25%,1.66%,USD 238.00,1000,100,0.91%,Payout,Y,0
Janus Henderson Horizon Global Property Equities A2 USD,USD,10,Y,N,N,N,1.20%,2.86%,USD 1140.00,1000,100,,,,0
DWS China Equity A SGD,SGD,9,Y,N,N,Y,1.50%,1.65%,SGD 112.65,1000,100,,,,0
Fidelity American Diversified A-USD,USD,8,Y,N,N,N,1.50%,1.92%,USD 206.00,1000,100,,Reinvest,Y,0
DWS India Equity A SGD,SGD,9,Y,N,N,Y,1.50%,1.69%,SGD 126.61,1000,100,,,,0
Schroder ISF Emerging Asia A Acc USD,USD,10,Y,N,N,N,1.50%,1.86%,USD 6938.84,1000,100,,,,0
Schroder ISF Global Inflation Linked Bond A Acc EUR,EUR,2,Y,N,N,N,0.75%,0.94%,EUR 1152.89,1000,100,,,,0
LionGlobal Thailand SGD,SGD,9,Y,N,N,Y,1.25%,1.94%,SGD 15.80,1000,100,,,,0
Schroder ISF Strategic Bond A Dis USD,USD,3,Y,N,N,N,1.00%,1.29%,USD 829.23,1000,100,1.99%,Payout,M,0
Eastspring Investments Unit Trusts - Global Themes SGD,SGD,7,Y,N,N,Y,1.50%,1.77%,SGD 20.20,1000,100,,,,0
United Asia Pacific Infrastructure SGD,SGD,9,Y,N,N,Y,1.50%,2.91%,SGD 6.63,1000,100,,Reinvest,F,0
Eastspring Investments - Asian Bond AS SGD,SGD,4,Y,N,N,Y,1.00%,1.41%,USD 3368.10,1000,100,,,,0
Eastspring Investments - Asian Equity Fund AS SGD,SGD,8,Y,N,N,N,1.50%,2.13%,USD 323.40,1000,100,,,,0
Eastspring Investments - Greater China Equity A USD,USD,8,Y,N,N,N,1.50%,2.12%,USD 190.40,1000,100,,,,0
Schroder ISF Emerging Markets A Acc USD,USD,9,Y,N,N,N,1.50%,1.86%,USD 5950.04,1000,100,,,,0
AB FCP I Dynamic Diversified AX SGD,SGD,6,Y,N,N,N,1.40%,1.90%,USD 43.33,3000,1000,,,,0
Fidelity America A-SGD,SGD,8,Y,N,N,Y,1.50%,1.89%,USD 2240.00,1000,100,,,,0
Fidelity US High Yield A-MDIST-SGD,SGD,4,Y,N,N,N,1.00%,1.39%,USD 4136.00,1000,100,3.44%,Payout,M,0
Fidelity ASEAN A-SGD,SGD,9,Y,N,N,Y,1.50%,1.93%,USD 722.00,1000,100,1.72%,Reinvest,Y,0
Fidelity Global Property A-USD,USD,10,Y,N,N,N,1.50%,1.93%,USD 205.00,1000,100,0.65%,Reinvest,Y,0
Fidelity Emerging Markets A-SGD,SGD,9,Y,N,N,Y,1.50%,1.92%,USD 6966.00,1000,100,0.09%,Reinvest,Y,0
Janus Henderson Horizon Asia-Pacific Property Income A2 USD,USD,10,Y,N,N,N,1.20%,1.94%,USD 39.92,1000,100,,,,0
United Greater China Fund A Acc SGD (Fund Ccy USD),USD,8,Y,N,N,N,1.50%,1.92%,USD 42.85,1000,100,,,,0
AB SICAV I International Health Care Portfolio A SGD,SGD,10,Y,N,N,N,1.80%,1.95%,USD 1600.75,3000,1000,,,,0
LionGlobal Vietnam SGD,SGD,9,Y,N,N,Y,1.50%,1.78%,SGD 142.00,1000,100,,,,0
Fidelity China Focus A-SGD,SGD,9,Y,N,N,Y,1.50%,1.91%,USD 2480.00,1000,100,1.20%,Reinvest,Y,0
DWS Global Agribusiness A2 SGD,SGD,10,Y,N,N,N,1.50%,1.68%,USD 57.40,1000,100,,,,0
NN (L) Asian Debt (Hard Currency) P SGD-H,SGD,4,Y,N,N,Y,1.00%,1.32%,USD 607.62,1000,100,,,,0
Schroder Asian Income A Dis AUD-H,AUD,6,Y,N,N,N,1.25%,1.44%,SGD 4978.85,1000,100,4.69%,Payout,M,0
First Sentier Global Property Securities A Acc SGD,SGD,10,Y,N,N,Y,1.50%,1.48%,SGD 15.10,1000,100,,,,0
JPMorgan Funds - US Aggregate Bond A (mth) SGD-H,SGD,3,Y,N,N,Y,0.90%,1.10%,USD 4792.40,1000,100,3.13%,Payout,M,0
Fidelity Global Income A-ACC-USD,USD,4,Y,N,N,N,0.90%,1.31%,USD 560.00,1000,100,,,,0
